Active EFROS 3.2014,,,,,
EFRO ID,Account Number (Agency),Agency Alias (Agency),Agency,Program Type,Manual Entry
80839,R386,M117,Volunteers of America,Shelter,n
82798,R388,M12,Grand Central Neighborhood,Soup Kitchen,n
80861,R389,M120,New York Common Food Pantry,Food Pantry,n
80862,R389,M120,New York Common Food Pantry,Soup Kitchen,n
80721,R391,M121,SA - Manhattan Citadel Corp,Food Pantry,n
80722,R391,M121,SA - Manhattan Citadel Corp,Soup Kitchen,n
80649,R393,M122,Metropolitan Community Church,Food Pantry,n
81473,R396,M125,Village Temple Soup Kitchen,Soup Kitchen,y
81966,R399,M129,United Christian Prison Ministry Inc.,Soup Kitchen,y
83620,R4,BK03,Teen Challenge,Food Pantry,n
87058,R4,BK03,Teen Challenge,Soup Kitchen,n
80289,R40,BK12,Hanson Place SDA Community Service,Food Pantry,n
81657,R40,BK12,Hanson Place SDA Community Service,Soup Kitchen,n
84072,R400,M13,Help Supportive Employment Center,Shelter,n
84058,R401,M130,The Carter Burden Lunch Senior Club,Senior Center,n
82349,R402,M132,Shilo Church of Christ,Soup Kitchen,n
83686,R402,M132,Shilo Church of Christ,Food Pantry,n
83857,R403,M133,Praxis Housing Initiatives - Barbour Hotel,Shelter,n
83855,R404,M134,Praxis Housing Initiatives - Riverside Place,Shelter,n
84193,R405,M135,Cabrini Immigrant Services,Food Pantry,n
84987,R409,M139,Metropolitan Baptist Church,Food Pantry,y
80324,R41,BK120,Mount Olive House,Food Pantry,n
82853,R41,BK120,Mount Olive House,Soup Kitchen,n
81309,R411,M140,Upper Manhattan Mental Health Ctr-Council Ent.,Food Pantry,n
83703,R415,M144,Project Greenhope: Services For Women,Shelter,y
81125,R418,M147,New Covenant Temple,Food Pantry,y
81627,R42,BK123,Mount Paran Baptist Church,Food Pantry,n
82854,R42,BK123,Mount Paran Baptist Church,Soup Kitchen,n
81976,R420,M149,Iris House,Food Pantry,n
81977,R420,M149,Iris House,Soup Kitchen,n
81507,R422,M150,St. Clements Food Pantry,Food Pantry,n
82132,R425,M153,Church of God (NY),Food Pantry,y
82998,R426,M154,The Door,Youth Services,n
81685,R428,M156,The Father's Heart Ministries,Food Pantry,n
83557,R428,M156,The Father's Heart Ministries,Soup Kitchen,n
84108,R429,M157,First Corinthian Food Pantry,Food Pantry,n
80336,R43,BK124,Calvary Pentecostal Church,Food Pantry,n
80744,R430,M158,St. Cecilia's Parish Services,Food Pantry,n
80764,R431,M159,St. Mark's The Evangelist,Food Pantry,n
84349,R434,M160,World Wide Missionary Movement (Centro Evangelistico),Food Pantry,n
84890,R435,M161,Urban Pathways - Open Door,Soup Kitchen,y
87270,R437,M163,Odyssey House Haven H.D.F.C,Shelter,y
84059,R438,M164,Praxis Housing Init - St Nicholas Hotel,Shelter,y
82764,R44,BK125,Puerto Rican Family Inst.,Food Pantry,y
80493,R440,M166,BRC - Project Rescue Adult Day Health Care,Soup Kitchen,n
84071,R443,M169,The BRC Food Service Program,Shelter,n
84461,R443,M169,The BRC Food Service Program,Senior Center,n
84463,R443,M169,The BRC Food Service Program,Rehab - Substance Abuse,n
